Date;VIX
04/09/2017;#N/A
05/09/2017;19.19
06/09/2017;20.05
07/09/2017;20.66
08/09/2017;21.61
11/09/2017;19.54
12/09/2017;20.95
13/09/2017;20.34
14/09/2017;21.11
15/09/2017;19.89
18/09/2017;20.62
19/09/2017;19.94
20/09/2017;20.34
21/09/2017;20.57
22/09/2017;20.1
25/09/2017;21.32
26/09/2017;22.09
27/09/2017;22.13
28/09/2017;21.8
29/09/2017;21.43
02/10/2017;21.5
03/10/2017;21.46
04/10/2017;21.13
05/10/2017;21.34
06/10/2017;21.82
09/10/2017;21.68
10/10/2017;21.42
11/10/2017;21.71
12/10/2017;21.71
13/10/2017;22.07
16/10/2017;22.33
17/10/2017;26.78
18/10/2017;18.98
19/10/2017;17.21
20/10/2017;15.28
23/10/2017;15.18
24/10/2017;17.11
25/10/2017;17.64
26/10/2017;17.96
27/10/2017;16.93
30/10/2017;17.68
31/10/2017;17.98
01/11/2017;17.4
02/11/2017;17.11
03/11/2017;17.24
06/11/2017;18.23
07/11/2017;18.21
08/11/2017;17.97
09/11/2017;17.77
10/11/2017;17.64
13/11/2017;17.32
14/11/2017;17.49
15/11/2017;17.59
16/11/2017;20.94
17/11/2017;16.97
20/11/2017;17.64
21/11/2017;16.2
22/11/2017;15.6
23/11/2017;#N/A
24/11/2017;16.49
27/11/2017;18.29
28/11/2017;18.15
29/11/2017;21.57
30/11/2017;20.76
01/12/2017;20.69
04/12/2017;22.75
05/12/2017;19.58
06/12/2017;21.57
07/12/2017;21.9
08/12/2017;22.19
11/12/2017;21.28
12/12/2017;22.47
13/12/2017;22.6
14/12/2017;21.49
15/12/2017;22.83
18/12/2017;22.81
19/12/2017;21.74
20/12/2017;22.34
21/12/2017;23.33
22/12/2017;21.72
25/12/2017;#N/A
26/12/2017;22.27
27/12/2017;22
28/12/2017;21.7
29/12/2017;22.71
01/01/2018;#N/A
02/01/2018;21.98
03/01/2018;25.79
04/01/2018;23.89
05/01/2018;27.79
08/01/2018;25.86
09/01/2018;25.74
10/01/2018;25.21
11/01/2018;25.41
12/01/2018;25.39
15/01/2018;#N/A
16/01/2018;27.82
17/01/2018;28.42
18/01/2018;27.85
19/01/2018;20.11
22/01/2018;20.12
23/01/2018;20.12
24/01/2018;20.12
25/01/2018;20.12
26/01/2018;20.12
29/01/2018;20.12
30/01/2018;20.12
31/01/2018;20.12
01/02/2018;20.12
02/02/2018;20.12
05/02/2018;20.12
06/02/2018;20.12
07/02/2018;20.12
08/02/2018;20.12
09/02/2018;20.12
12/02/2018;20.12
13/02/2018;20.12
14/02/2018;20.12
15/02/2018;20.12
16/02/2018;20.12
19/02/2018;#N/A
20/02/2018;20.12
21/02/2018;20.12
22/02/2018;20.12
23/02/2018;20.12
26/02/2018;21.04
27/02/2018;25.79
28/02/2018;23.06
01/03/2018;25.97
02/03/2018;25.39
05/03/2018;24.96
06/03/2018;26.01
07/03/2018;26.03
08/03/2018;27.59
09/03/2018;25.32
12/03/2018;25.42
13/03/2018;26.19
14/03/2018;26.64
15/03/2018;26.02
16/03/2018;24.99
19/03/2018;27.67
20/03/2018;26.82
21/03/2018;26.87
22/03/2018;29.85
23/03/2018;31.31
26/03/2018;28.79
27/03/2018;30.93
28/03/2018;31.63
29/03/2018;28.86
30/03/2018;#N/A
02/04/2018;33.13
03/04/2018;31.85
04/04/2018;30.5
05/04/2018;29.82
06/04/2018;33.42
09/04/2018;32.86
10/04/2018;31.07
11/04/2018;31.1
12/04/2018;28.71
13/04/2018;28.81
16/04/2018;28.77
17/04/2018;27.72
18/04/2018;23.28
19/04/2018;22.18
20/04/2018;22.77
23/04/2018;21.1
24/04/2018;21.75
25/04/2018;23.23
26/04/2018;20.22
27/04/2018;18.54
30/04/2018;19.6
01/05/2018;19.61
02/05/2018;20.2
03/05/2018;20.21
04/05/2018;19.11
07/05/2018;19.49
08/05/2018;20.14
09/05/2018;18.77
10/05/2018;18.04
11/05/2018;17.14
14/05/2018;16.57
15/05/2018;17.46
16/05/2018;16.83
17/05/2018;17.1
18/05/2018;17.17
21/05/2018;17.09
22/05/2018;17.55
23/05/2018;17.62
24/05/2018;17.98
25/05/2018;18.03
28/05/2018;#N/A
29/05/2018;20.93
30/05/2018;19.86
31/05/2018;20.64
01/06/2018;19.48
04/06/2018;20.23
05/06/2018;20.57
06/06/2018;20.63
07/06/2018;21.08
08/06/2018;20.97
11/06/2018;22.26
12/06/2018;21.8
13/06/2018;22.04
14/06/2018;21.95
15/06/2018;23.1
18/06/2018;21.94
19/06/2018;25.18
20/06/2018;22.79
21/06/2018;23.65
22/06/2018;23.36
25/06/2018;25.91
26/06/2018;26.13
27/06/2018;26.76
28/06/2018;26.41
29/06/2018;27.29
02/07/2018;25.84
03/07/2018;25.88
04/07/2018;#N/A
05/07/2018;25.84
06/07/2018;24.75
09/07/2018;24.68
10/07/2018;25.15
11/07/2018;25.97
12/07/2018;24.58
13/07/2018;24.39
16/07/2018;25.43
17/07/2018;27.14
18/07/2018;26.93
19/07/2018;19.36
20/07/2018;17.76
23/07/2018;16.99
24/07/2018;16.26
25/07/2018;16.11
26/07/2018;16.55
27/07/2018;16.84
30/07/2018;17.62
31/07/2018;16.33
01/08/2018;16.52
02/08/2018;15.66
03/08/2018;17.26
06/08/2018;16.48
07/08/2018;16.35
08/08/2018;16.15
09/08/2018;15.45
10/08/2018;16.3
13/08/2018;14.55
14/08/2018;14.23
15/08/2018;16.07
16/08/2018;15.23
17/08/2018;14.91
20/08/2018;14.16
21/08/2018;14.57
22/08/2018;14.68
23/08/2018;15.49
24/08/2018;15.02
27/08/2018;15.8
28/08/2018;16.64
29/08/2018;16.79
30/08/2018;17.73
31/08/2018;17.78
03/09/2018;#N/A
04/09/2018;19.87
05/09/2018;20.4
06/09/2018;21.16
07/09/2018;21.05
10/09/2018;22.44
11/09/2018;22.4
12/09/2018;21.88
13/09/2018;22.55
14/09/2018;21.67
17/09/2018;24.09
18/09/2018;23.09
19/09/2018;23.18
20/09/2018;23.15
21/09/2018;22.45
24/09/2018;23.11
25/09/2018;23.66
26/09/2018;24.33
27/09/2018;24.03
28/09/2018;23.71
01/10/2018;24.4
02/10/2018;24.39
03/10/2018;24.18
04/10/2018;25.95
05/10/2018;26.61
08/10/2018;27.55
09/10/2018;28.02
10/10/2018;33.05
11/10/2018;34.54
12/10/2018;31.67
15/10/2018;39
16/10/2018;29.34
17/10/2018;25.35
18/10/2018;26.88
19/10/2018;25.79
22/10/2018;24.82
23/10/2018;26
24/10/2018;29.53
25/10/2018;27.64
26/10/2018;29.09
29/10/2018;34.84
30/10/2018;33.96
31/10/2018;39.55
01/11/2018;26.46
02/11/2018;29.11
05/11/2018;27.96
06/11/2018;28.29
07/11/2018;25.68
08/11/2018;26.06
09/11/2018;28.35
12/11/2018;37.04
13/11/2018;29.47
14/11/2018;30.16
15/11/2018;29.84
16/11/2018;27.88
19/11/2018;29.39
20/11/2018;30.61
21/11/2018;27.05
22/11/2018;#N/A
23/11/2018;29.72
26/11/2018;26.89
27/11/2018;26.37
28/11/2018;24.66
29/11/2018;28.84
