Ticker;Date;Volume;Asset_date;Asset;Cashflow_date;Cashflow;Calc_return;Calc_macd;Calc_signal;Calc_ema;Inflation_rate;EPU_rate;VIX0_rate;VIX1_rate;VIX2_rate;VIX3_rate;VIX4_rate;VIX5_rate;VIX6_rate;VIX7_rate;VIX8_rate;VIX9_rate;VIX10_rate
ABG.JO;1483340400;;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;;;;;1.10837438;203.7959673;11.81;30.76;18.67;18.18;18.58;18.91;30.65;14.8;41.12;23.56;17.95
ABG.JO;1483426800;480959.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0077657241093129;10.450142450143176;2.090028490028635;8.36011396011454;1.10837438;203.7959673;12.54;18.23;17.55;18.36;15.12;19.07;24.67;14.41;38.82;20.6;18.06
ABG.JO;1483513200;848884.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.01;32.079739612505364;8.087970714523982;23.99176889798138;1.10837438;203.7959673;;;;;;;;;;;
ABG.JO;1483599600;1174915.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;-0.0285381479324403;9.572105029026716;8.384797577424528;1.187307451602187;1.10837438;203.7959673;10.11;18.86;22.1;13.58;14.45;16.5;29.42;12.35;35.02;23.12;14.81
ABG.JO;1483686000;772876.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0161870503597122;13.367296110016468;9.381297283942915;3.9859988260735513;1.10837438;203.7959673;9.89;19.28;18.06;18.07;17.08;17.46;31.19;11.81;30.64;19.7;16.3
ABG.JO;1483945200;486532.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0010029498525073;17.544527912956255;11.013943409745586;6.530584503210669;1.10837438;203.7959673;10.13;20.57;24.98;18.15;16.81;16.17;28.97;12.73;26.55;21.13;15.45
ABG.JO;1484031600;1911578.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;-0.0138504155124653;1.8709114860503175;9.185337025006532;-7.314425538956215;1.10837438;203.7959673;;;;;;;;;;;
ABG.JO;1484118000;2369541.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0089050920392063;1.4557315335077874;7.639415926706784;-6.183684393198996;1.10837438;203.7959673;10.2;23.19;30.08;17.4;20.47;15.41;25.65;11.8;23.57;19.94;16.49
ABG.JO;1484204400;1211319.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0129731650968544;18.58394403184502;9.828321547734433;8.755622484110589;1.10837438;203.7959673;11.43;24.3;22.23;20.69;19.84;16.41;23.73;11.39;22.35;18.76;19.75
ABG.JO;1484290800;1265433.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0005847953216374;32.5894216982706;14.380541577841669;18.20888012042893;1.10837438;203.7959673;11.23;30.24;23.85;24.87;25.06;18.23;30.73;14.63;44.86;23.26;18.23
ABG.JO;1484550000;893928.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;-0.0111630625365283;27.954517628397294;17.095336787952796;10.859180840444502;1.10837438;203.7959673;;;;;;;;;;;
ABG.JO;1484636400;1870025.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;-0.0163721260121756;1.9077464325891924;14.057818716880076;-12.150072284290884;1.10837438;203.7959673;11.87;31.41;24.8;24.1;26.1;18.19;31.25;15.67;45.79;24.24;18.68
ABG.JO;1484722800;2388128.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;0.0070904939310179;-9.107903324042129;9.424674308695636;-18.53257763273776;1.10837438;203.7959673;12.48;30.73;24.1;24.31;24.78;17.34;31.24;15.25;44.71;22.98;18.63
ABG.JO;1484809200;1807726.0;2017-12-31 00:00:00;1169595000000.0;2017-12-31 00:00:00;-534000000.0;-0.0155131264916467;-38.375345118281984;-0.1353295766998883;-38.240015541582096;1.10837438;203.7959673;12.78;30.38;24.54;24.13;24.87;17.49;30.88;15.11;45.45;23.78;18.88
