Market;Company;Ticker
JSE;Grindrod Shipping Holdings Ltd.;GSH.JO
JSE;Growthpoint Properties Ltd.;GRT.JO
JSE;Hammerson Plc;HMN.JO
JSE;Harmony Gold Mining Company Ltd.;HAR.JO
JSE;Hosken Consolidated Investments Ltd.;HCI.JO
JSE;Netcare Ltd.;NTC.JO
JSE;Heriot REIT Ltd.;HET.JO
JSE;Homechoice International plc;HIL.JO
JSE;Hosken Passenger Logistics and Rail Ltd.;HPR.JO
JSE;Hudaco Industries Ltd.;HDC.JO
JSE;Huge Group Ltd.;HUG.JO
JSE;Hulamin Ltd.;HLM.JO
JSE;Hulisani Ltd.;HUL.JO
JSE;Hwange Colliery Company Ltd.;HWA.JO
JSE;Hyprop Investments Ltd.;HYP.JO
JSE;Irongate Group;IAP.JO
JSE;Imbalie Beauty Ltd.;ILE.JO
JSE;Impala Platinum Holdings Ltd.;IMP.JO
JSE;Imperial Logistics Ltd.;IPL.JO
JSE;Indluplace Properties Ltd.;ILU.JO
JSE;Insimbi Industrial Holdings Ltd.;ISB.JO
JSE;Investec Ltd.;INPR.JO
JSE;Investec Ltd.;INL.JO
JSE;Investec plc;INPPR.JO
JSE;Investec plc;INPP.JO
JSE;Investec plc;INP.JO
JSE;Investec Property Fund Ltd.;IPF.JO
JSE;Investec Bank Ltd.;INLP.JO
JSE;Invicta Holdings Ltd.;IVTP.JO
JSE;Invicta Holdings Ltd.;IVT.JO
JSE;ISA Holdings Ltd.;ISA.JO
JSE;Italtile Ltd.;ITE.JO
JSE;Jasco Electronics Holdings Ltd.;JSC.JO
JSE;JSE Ltd.;JSE.JO
JSE;Jubilee Metals Group Plc;JBL.JO
JSE;Kaap Agri Ltd.;KAL.JO
JSE;KAP Industrial Holdings Ltd.;KAP.JO
JSE;Karooooo Ltd.;KRO.JO
JSE;Kibo Energy PLC;KBO.JO
JSE;Kore Potash plc;KP2.JO
JSE;Kumba Iron Ore Ltd.;KIO.JO
JSE;Labat Africa Ltd.;LAB.JO
JSE;Lewis Group Ltd.;LEW.JO
JSE;Liberty Holdings Ltd.;LBHP.JO
JSE;Liberty Holdings Ltd.;LBH.JO
JSE;Liberty Two Degrees;L2D.JO
JSE;Libstar Holdings Ltd.;LBR.JO
JSE;Life Healthcare Group Holdings Ltd.;LHC.JO
JSE;Lighthouse Capital Ltd.;LTE.JO
JSE;London Finance & Investment Group PLC;LNF.JO
JSE;Long4Life Ltd.;L4L.JO
JSE;Marshall Monteagle PLC;MMP.JO
JSE;MAS Real Estate Inc.;MSP.JO
JSE;Massmart Holdings Ltd.;MSM.JO
JSE;Master Drilling Group Ltd.;MDI.JO
JSE;MC Mining Ltd.;MCZ.JO
JSE;Middle East Diamond Resources Ltd.;MED.JO
JSE;Mediclinic International plc;MEI.JO
JSE;Merafe Resources Ltd.;MRF.JO
JSE;Metair Investments Ltd.;MTA.JO
JSE;Metrofile Holdings Ltd.;MFL.JO
JSE;Mine Restoration Investments Ltd.;MRI.JO
JSE;MiX Telematics Ltd.;MIX.JO
JSE;Momentum Metropolitan Holdings Ltd.;MTM.JO
JSE;Mondi plc;MNP.JO
JSE;Montauk Renewables Inc.;MKR.JO
JSE;Motus Holdings Ltd.;MTH.JO
JSE;Mpact Ltd.;MPT.JO
JSE;Mr Price Group Ltd.;MRP.JO
JSE;MTN Group Ltd.;MTN.JO
JSE;MTN Zakhele Futhi (RF) Ltd.;MTNZF.JO
JSE;MultiChoice Group Ltd.;MCG.JO
