Market;Company;Ticker;Current_price;DateAssetN;AssetN;DateAssetN-1;AssetN-1;DateAssetN-2;AssetN-2;DateAssetN-3;AssetN-3;DateAssetN-4;AssetN-4;DatecashflowN;CashflowN;DatecashflowN1;CashflowN1;DatecashflowN2;CashflowN2;DatecashflowN3;CashflowN3;DatecashflowN4;CashflowN4;Pricetobook;Pricetoearning;EarningtopriceVolume;Earningtoprice;Volume
JSE;Absa Group Ltd.;ABG.JO;14130;2021-12-31;1640833000000;2020-12-31;1531120000000;2019-12-31;1399175000000;2018-12-31;1288744000000;2017-12-31;1169595000000;2021-12-31;6475000000;2020-12-31;6967000000;2019-12-31;13709000000;2018-12-31;13884000000;2017-12-31;-534000000;101.242424;1986.5035849852381;;0.0005033970276008493;1231103.0
JSE;Absa Bank Ltd.;ABSP.JO;72399;2021-12-31;1350998000000;2020-12-31;1286275000000;2019-12-31;1159825000000;2018-12-31;1079679000000;2017-12-31;988358000000;2021-12-31;-85248000000;2020-12-31;-91001000000;2019-12-31;-58245000000;2018-12-31;-65495000000;2017-12-31;-34928000000;361.62433;27601.601219977125;;3.6229782179311875e-05;634.0
JSE;ArcelorMittal South Africa Ltd.;ACL.JO;676;2021-12-31;29093000000;2020-12-31;21809000000;2019-12-31;23533000000;2018-12-31;28560000000;2017-12-31;31196000000;2021-12-31;2763000000;2020-12-31;622000000;2019-12-31;129000000;2018-12-31;887000000;2017-12-31;-1518000000;321.44556;-375.55555555555554;;-0.0026627218934911242;2687591.0
JSE;ADvTECH Ltd.;ADH.JO;1825;2021-12-31;8067000000;2020-12-31;7640700000;2019-12-31;7644000000;2018-12-31;6725800000;2017-12-31;5553600000;2021-12-31;1122200000;2020-12-31;898900000;2019-12-31;625500000;2018-12-31;616400000;2017-12-31;580200000;261.31155;2144.535840188014;;0.00046630136986301366;3031641.0
JSE;AECI Ltd.;AFE.JO;11052;2021-12-31;24178000000;2020-12-31;23641000000;2019-12-31;23133000000;2018-12-31;22275000000;2017-12-31;15971000000;2021-12-31;1467000000;2020-12-31;3132000000;2019-12-31;1868000000;2018-12-31;2029000000;2017-12-31;1221000000;114.191246;9133.88429752066;;0.00010948244661599711;244941.0
JSE;AECI Ltd.;AFEP.JO;1400;2021-12-31;24178000000;2020-12-31;23641000000;2019-12-31;23133000000;2018-12-31;22275000000;2017-12-31;15971000000;2021-12-31;1467000000;2020-12-31;3132000000;2019-12-31;1868000000;2018-12-31;2029000000;2017-12-31;1221000000;14.465051;1157.0247933884298;;0.0008642857142857142;5411.0
JSE;Anglo American plc;AGL.JO;55400;2021-12-31;65985000000;2020-12-31;62534000000;2019-12-31;56152000000;2018-12-31;52196000000;2017-12-31;54561000000;2021-12-31;16723000000;2020-12-31;6618000000;2019-12-31;7664000000;2018-12-31;7127000000;2017-12-31;8049000000;2657.4568;2323.728031542301;;0.00043034296028880866;957070.0
JSE;Anglo American Platinum Ltd.;AMS.JO;154763;2021-12-31;180149000000;2020-12-31;144377000000;2019-12-31;104020000000;2018-12-31;89390000000;2017-12-31;80814000000;2021-12-31;96486000000;2020-12-31;23200000000;2019-12-31;28438000000;2018-12-31;15580000000;2017-12-31;13121000000;518.91754;1343.5454466533554;;0.0007442993480353831;341915.0
JSE;AngloGold Ashanti Ltd.;ANG.JO;27600;2021-12-31;7967000000;2020-12-31;7672000000;2019-12-31;6863000000;2018-12-31;6643000000;2017-12-31;7219000000;2021-12-31;1268000000;2020-12-31;1654000000;2019-12-31;1047000000;2018-12-31;857000000;2017-12-31;997000000;3163.6863;825.2107875381212;;0.0012118115942028984;957817.0
JSE;Anheuser-Busch InBev SA/NV;ANH.JO;81943;2021-12-31;217627000000;2020-12-31;226410000000;2019-12-31;236648000000;2018-12-31;233868000000;2017-12-31;246126000000;2021-12-31;14799000000;2020-12-31;10891000000;2019-12-31;14036000000;2018-12-31;14936000000;2017-12-31;15430000000;2375.779;2708.6804178236152;;0.00036918345679313666;200529.0
JSE;Astoria Investment Ltd.;ARA.JO;495;2021-12-31;35511491;2020-12-31;26548199;2019-12-31;20781117;2018-12-31;132595000;2017-12-31;149628000;2021-12-31;-595878;2020-12-31;-430346;2019-12-31;-5287608;2018-12-31;-2701000;2017-12-31;-2322000;1076.0869;645.3715775749674;;0.0015494949494949495;95.0
JSE;Bell Equipment Ltd.;BEL.JO;1489;2021-12-31;6924007000;2020-12-31;6639939000;2019-12-31;7027879000;2018-12-31;6528233000;2017-12-31;5357614000;2021-12-31;593864000;2020-12-31;818632000;2019-12-31;-260872000;2018-12-31;-322720000;2017-12-31;-10197000;40.832558;-2215.773809523809;;-0.0004513096037609134;31911.0
JSE;Brimstone Investment Corporation Ltd.;BRN.JO;600;2021-12-31;10498264000;2020-12-31;10343576000;2019-12-31;11267145000;2018-12-31;10896551000;2017-12-31;9185104000;2021-12-31;672528000;2020-12-31;758787000;2019-12-31;420289000;2018-12-31;155698000;2017-12-31;269165000;65.146576;-821.9178082191781;;-0.0012166666666666667;475728.0
JSE;Brimstone Investment Corporation Ltd.;BRT.JO;600;2021-12-31;10498264000;2020-12-31;10343576000;2019-12-31;11267145000;2018-12-31;10896551000;2017-12-31;9185104000;2021-12-31;672528000;2020-12-31;758787000;2019-12-31;420289000;2018-12-31;155698000;2017-12-31;269165000;65.146576;-821.9178082191781;;-0.0012166666666666667;9826.0
JSE;British American Tobacco plc;BTI.JO;52363;2021-12-31;137365000000;2020-12-31;137690000000;2019-12-31;141005000000;2018-12-31;146342000000;2017-12-31;141054000000;2021-12-31;9717000000;2020-12-31;9786000000;2019-12-31;8996000000;2018-12-31;10295000000;2017-12-31;5347000000;1914.5521;942.8149588577396;;0.0010606535148864657;622291.0
JSE;Buffalo Coal Corp;BUC.JO;75;2021-12-31;174375548;2020-12-31;187845657;2019-12-31;202743720;2018-12-31;228808074;2017-12-31;360308010;2021-12-31;27099361;2020-12-31;17778755;2019-12-31;36248254;2018-12-31;105875969;2017-12-31;28269852;;721.1538461538462;;0.0013866666666666667;6534.0
JSE;Capital & Counties Properties PLC;CCO.JO;3310;2021-12-31;2798500000;2020-12-31;2908100000;2019-12-31;3099400000;2018-12-31;3664100000;2017-12-31;3961200000;2021-12-31;500000;2020-12-31;-54800000;2019-12-31;-21600000;2018-12-31;-15800000;2017-12-31;-5600000;1600.5802;-202.38459186793028;;-0.004941087613293051;654546.0
JSE;Curro Holdings Ltd.;COH.JO;1226;2021-12-31;11552000000;2020-12-31;11114000000;2019-12-31;10485000000;2018-12-31;9165000000;2017-12-31;8085000000;2021-12-31;767000000;2020-12-31;514000000;2019-12-31;474000000;2018-12-31;388000000;2017-12-31;313000000;108.32303;-18575.757575757576;;-5.383360522022839e-05;362093.0
JSE;DRA Global Ltd.;DRA.JO;3626;2021-12-31;640280000;2020-12-31;630196000;2019-12-31;586359000;2018-12-31;533263000;2017-12-31;420108622;2021-12-31;12729000;2020-12-31;101874000;2019-12-31;25046000;2018-12-31;-56261000;2017-12-31;100587853;;No division by 0;;No division by 0;8500.0
JSE;Eastern Platinum Ltd.;EPS.JO;433;2021-12-31;162783000;2020-12-31;162985000;2019-12-31;164848000;2018-12-31;150545000;2017-12-31;146949000;2021-12-31;890000;2020-12-31;1559000;2019-12-31;-8843000;2018-12-31;-2844000;2017-12-31;-7776000;447.31406;-4655.913978494624;;-0.00021478060046189378;2200.0
JSE;Exxaro Resources Ltd.;EXX.JO;16072;2021-12-31;75717000000;2020-12-31;78606000000;2019-12-31;68840000000;2018-12-31;65050000000;2017-12-31;62414000000;2021-12-31;8432000000;2020-12-31;5493000000;2019-12-31;3483000000;2018-12-31;5429000000;2017-12-31;5553000000;103.9956;553.9203860072377;;0.0018053135888501741;1685328.0
JSE;Glencore plc;GLN.JO;7390;2021-12-31;127510000000;2020-12-31;118000000000;2019-12-31;124076000000;2018-12-31;128672000000;2017-12-31;135593000000;2021-12-31;8860000000;2020-12-31;2664000000;2019-12-31;8729000000;2018-12-31;11559000000;2017-12-31;4817000000;2595.7148;-3594.3579766536964;;-0.00027821380243572396;11354551.0
JSE;Gemfields Group Ltd.;GML.JO;276;2021-12-31;743784000;2020-12-31;656710000;2019-12-31;784153000;2018-12-31;734068000;2017-12-31;823717000;2021-12-31;98121000;2020-12-31;-20166000;2019-12-31;36688000;2018-12-31;5109000;2017-12-31;14842000;781.86975;-265.64003849855635;;-0.003764492753623188;163757.0
JSE;Grindrod Shipping Holdings Ltd.;GSH.JO;22003;2021-12-31;645169000;2020-12-31;622099000;2019-12-31;519067000;2018-12-31;447627000;2017-12-31;507122000;2021-12-31;204852000;2020-12-31;70384000;2019-12-31;-55587000;2018-12-31;-37360000;2017-12-31;3375000;1970.5355;-753.475789329498;;-0.0013271826569104213;38243.0
JSE;Globe Trade Centre S.A.;GTC.JO;2599;2021-12-31;2843749000;2020-12-31;2480757000;2019-12-31;2522742000;2018-12-31;2356924000;2017-12-31;2182609000;2021-12-31;106427000;2020-12-31;100325000;2019-12-31;101407000;2018-12-31;88298000;2017-12-31;80678000;1317.9513;-1138.4143670608848;;-0.0008784147749134282;900.0
JSE;Homechoice International plc;HIL.JO;2501;2021-12-31;4827000000;2020-12-31;4592000000;2019-12-31;4351000000;2018-12-31;3920000000;2017-12-31;3609800000;2021-12-31;-174000000;2020-12-31;486000000;2019-12-31;174000000;2018-12-31;236000000;2017-12-31;164800000;83.61192;1576.923076923077;;0.0006341463414634147;1.0
JSE;Hulamin Ltd.;HLM.JO;394;2021-12-31;5881515000;2020-12-31;4545021000;2019-12-31;4260028000;2018-12-31;6511459000;2017-12-31;7225199000;2021-12-31;238771000;2020-12-31;-360495000;2019-12-31;533287000;2018-12-31;331618000;2017-12-31;557166000;51.322132;-525.3333333333334;;-0.0019035532994923859;432015.0
JSE;Hammerson Plc;HMN.JO;647;2021-12-31;4913900000;2020-12-31;5906300000;2019-12-31;7315400000;2018-12-31;8922000000;2017-12-31;9875700000;2021-12-31;-70300000;2020-12-31;-82400000;2019-12-31;167100000;2018-12-31;114500000;2017-12-31;139300000;817.95197;-42.42901173847465;;-0.023568778979907265;310834.0
JSE;JSE Ltd.;JSE.JO;10457;2021-12-31;61037600000;2020-12-31;51625001000;2019-12-31;40227215000;2018-12-31;41924750000;2017-12-31;38687969000;2021-12-31;917252000;2020-12-31;1002760000;2019-12-31;880444000;2018-12-31;913212000;2017-12-31;976524000;211.08195;1123.3215168116876;;0.0008902170794682987;434573.0
JSE;Kumba Iron Ore Ltd.;KIO.JO;48272;2021-12-31;81883000000;2020-12-31;82517000000;2019-12-31;66941000000;2018-12-31;63051000000;2017-12-31;62466000000;2021-12-31;48944000000;2020-12-31;30661000000;2019-12-31;27390000000;2018-12-31;15234000000;2017-12-31;17010000000;326.182;681.9042237604181;;0.0014664816042426253;696847.0
JSE;Kore Potash plc;KP2.JO;22;2021-12-31;178494514;2020-12-31;178447648;2019-12-31;164758462;2018-12-31;156818768;2017-12-31;157544110;2021-12-31;-1701079;2020-12-31;-4022888;2019-12-31;-4924129;2018-12-31;-6054050;2017-12-31;-4957110;301.36987;-880.0;;-0.0011363636363636365;47957.0
JSE;Libstar Holdings Ltd.;LBR.JO;650;2021-12-31;9987479000;2020-12-31;10534998000;2019-12-31;10826957000;2018-12-31;9793875000;2017-12-31;9492697000;2021-12-31;786055000;2020-12-31;637218000;2019-12-31;579769000;2018-12-31;505044000;2017-12-31;572614000;72.286476;5284.552845528456;;0.00018923076923076923;1165159.0
JSE;Mondi plc;MNP.JO;35602;2021-12-31;9261000000;2020-12-31;8367000000;2019-12-31;8540000000;2018-12-31;8042000000;2017-12-31;7376000000;2021-12-31;1150000000;2020-12-31;1318000000;2019-12-31;1388000000;2018-12-31;1407000000;2017-12-31;1213000000;4313.825;1702.7931892098718;;0.0005872703780686479;419862.0
JSE;Mpact Ltd.;MPT.JO;3236;2021-12-31;8721900000;2020-12-31;8028300000;2019-12-31;8425200000;2018-12-31;9879100000;2017-12-31;9181600000;2021-12-31;863400000;2020-12-31;1805500000;2019-12-31;931000000;2018-12-31;924800000;2017-12-31;931500000;145.12512;1719.4473963868227;;0.0005815822002472187;42334.0
JSE;Merafe Resources Ltd.;MRF.JO;108;2021-12-31;4945183000;2020-12-31;3113094000;2019-12-31;4559293000;2018-12-31;6628552000;2017-12-31;6355447000;2021-12-31;1155924000;2020-12-31;495306000;2019-12-31;699213000;2018-12-31;478495000;2017-12-31;1399874000;119.07387;-270.0;;-0.003703703703703704;4305473.0
JSE;Metair Investments Ltd.;MTA.JO;3049;2021-12-31;9075419000;2020-12-31;9298670000;2019-12-31;8967335000;2018-12-31;8422000000;2017-12-31;8105218000;2021-12-31;220908000;2020-12-31;780739000;2019-12-31;780735000;2018-12-31;535863000;2017-12-31;563822000;142.9308;3369.060773480663;;0.00029681862905870776;790070.0
JSE;MTN Group Ltd.;MTN.JO;13476;2021-12-31;365798000000;2020-12-31;348942000000;2019-12-31;302311000000;2018-12-31;256835000000;2017-12-31;244282000000;2021-12-31;67286000000;2020-12-31;58513000000;2019-12-31;36289000000;2018-12-31;32389000000;2017-12-31;33387000000;235.66034;1439.7435897435898;;0.0006945681211041852;3295924.0
JSE;MTN Zakhele Futhi (RF) Ltd.;MTNZF.JO;3250;2021-12-31;8731779000;2020-12-31;3087373000;2019-12-31;4239382000;2018-12-31;4589947000;2017-12-31;6994219000;2021-12-31;-69635000;2020-12-31;185959000;2019-12-31;258948000;2018-12-31;342011000;2017-12-31;377654000;381.7242;1777.8993435448576;;0.0005624615384615385;8960.0
JSE;Nedbank Group Ltd.;NED.JO;17417;2021-12-31;1221054000000;2020-12-31;1228137000000;2019-12-31;1143349000000;2018-12-31;1043912000000;2017-12-31;983314000000;2021-12-31;-7273000000;2020-12-31;-34912000000;2019-12-31;-63354000000;2018-12-31;-44419000000;2017-12-31;-6828000000;94.704445;2456.5585331452753;;0.0004070735488316013;1213932.0
JSE;NEPI Rockcastle plc;NRP.JO;10250;2021-12-31;6598140000;2020-12-31;6671156000;2019-12-31;6974100000;2018-12-31;6502644000;2017-12-31;5997801000;2021-12-31;258031000;2020-12-31;236415000;2019-12-31;321618000;2018-12-31;280175000;2017-12-31;213076000;1693.0955;-2148.846960167715;;-0.0004653658536585365;1119490.0
JSE;Old Mutual Ltd.;OMU.JO;1553;2021-12-31;1053854000000;2020-12-31;940682000000;2019-12-31;910902000000;2018-12-31;884455000000;2017-12-31;3046886000000;2021-12-31;20119000000;2020-12-31;23323000000;2019-12-31;12195000000;2018-12-31;-46326000000;2017-12-31;115064000000;109.15097;-1335.3396388650042;;-0.0007488731487443657;10673659.0
JSE;Quilter plc;QLT.JO;3022;2021-12-31;50740000000;2020-12-31;67372000000;2019-12-31;61551000000;2018-12-31;65790000000;2017-12-31;71973000000;2021-12-31;3093000000;2020-12-31;1445000000;2019-12-31;-2072000000;2018-12-31;151000000;2017-12-31;4349000000;2739.8005;3083.673469387755;;0.0003242885506287227;4622050.0
JSE;Royal Bafokeng Platinum Ltd.;RBP.JO;9216;2021-12-31;35047200000;2020-12-31;31944400000;2019-12-31;26950700000;2018-12-31;25510600000;2017-12-31;22145400000;2021-12-31;8770200000;2020-12-31;5825900000;2019-12-31;1027600000;2018-12-31;665900000;2017-12-31;618400000;120.225426;740.7169265391416;;0.0013500434027777777;3493826.0
JSE;Randgold & Exploration Co Ltd.;RNG.JO;115;2021-12-31;115985000;2020-12-31;124794000;2019-12-31;144709000;2018-12-31;169296000;2017-12-31;166678000;2021-12-31;699000;2020-12-31;-18072000;2019-12-31;-26877000;2018-12-31;-270000;2017-12-31;-20058000;72.64687;-460.0;;-0.002173913043478261;50758.0
JSE;Standard Bank Group Ltd.;SBK.JO;13610;2021-12-31;2725817000000;2020-12-31;2532940000000;2019-12-31;2275589000000;2018-12-31;2126962000000;2017-12-31;2027928000000;2021-12-31;-99182000000;2020-12-31;-162929000000;2019-12-31;-93040000000;2018-12-31;-37798000000;2017-12-31;-41013000000;118.211105;1756.1290322580646;;0.0005694342395297575;2260777.0
JSE;Sabvest Capital Ltd.;SBP.JO;5390;2021-12-31;4265169000;2020-12-31;3645755000;2019-12-31;3224230000;2018-12-31;2819598000;2017-12-31;2650813000;2021-12-31;163824000;2020-12-31;33120000;2019-12-31;48257000;2018-12-31;23174000;2017-12-31;47110000;72.40828;760.8695652173914;;0.0013142857142857142;74422.0
JSE;Stadio Holdings Ltd.;SDO.JO;322;2021-12-31;2168645000;2020-12-31;2122135000;2019-12-31;2066659000;2018-12-31;1904246000;2017-12-31;1698252000;2021-12-31;189537000;2020-12-31;194881000;2019-12-31;141284000;2018-12-31;77257000;2017-12-31;-47737000;181.3063;-2220.689655172414;;-0.00045031055900621116;2638955.0
JSE;Sea Harvest Group Ltd.;SHG.JO;1350;2021-12-31;6838184000;2020-12-31;5794015000;2019-12-31;5516253000;2018-12-31;4848284000;2017-12-31;2568519000;2021-12-31;636945000;2020-12-31;810716000;2019-12-31;560415000;2018-12-31;476498000;2017-12-31;252642000;137.0976;907.258064516129;;0.0011022222222222223;47337.0
